,Unnamed: 0,name,Prediction result,pro non_persion
469,469,ly van tung,1,0.0101521611213684
470,470,duong quang trung,1,0.0013459920883178
471,471,nguyen minh quang,1,0.0003168582916259
472,472,truong quang minh,1,0.0004947185516357
473,473,tran quang chien,1,0.0010038018226623
474,474,huynh anh nhu,1,0.0283882617950439
475,475,bui thu phuong linh,1,0.0777058005332946
476,476,nguyen thi thuy hoan,1,0.0019128322601318
477,477,lai van duc,1,0.0080200433731079
478,478,le minh trung,1,0.0014843344688415
479,479,nguyen dinh duc huy,1,0.0015936493873596
480,480,nguyen ngoc thien kim,1,0.0141566395759582
481,481,giang thi co,0,0.6324177980422974
482,482,nguyen thanh long,1,0.0010138154029846
483,483,bui the vinh,1,0.0096215009689331
484,484,nguyen hong nguyen,1,0.0064202547073364
485,485,le minh thuan,1,0.0022599697113037
486,486,tran khanh duy,1,0.0066825151443481
487,487,le thi huong,1,0.0009480118751525
488,488,nguyen van binh,1,0.0011358261108398
489,489,pham huu minh,1,0.0032495260238647
490,490,tran quang bach,1,0.005134642124176
491,491,hoang tien dat,1,0.0459493994712829
492,492,luu dinh minh,1,0.0830034017562866
493,493,nguyen thi cam nguyen,1,0.0064151883125305
494,494,le thi duyen,1,0.0011140704154968
495,495,phan tien dat,1,0.0170158147811889
496,496,phun van quy,1,0.000721275806427
497,497,nguyen dang linh,1,0.0008124709129333
498,498,nguyen xuan trieu,1,0.0269813537597656
499,499,nguyen duy thuan,1,0.0013503432273864
500,500,nguyen duy thien,1,0.0019474029541015
501,501,cao thi hoa,1,0.0030736327171325
502,502,nguyen huu duy,1,0.0014576911926269
503,503,le truong dong,1,0.0061729550361633
504,504,nguyen thi hong,1,0.0012928247451782
505,505,truong thi na,1,0.0017271041870117
506,506,nguyen ha linh,1,0.0013359785079956
507,507,nguyen van phuc,1,0.0011611580848693
508,508,nguyen van nghia,1,0.0208582282066345
509,509,dang minh hieu,1,0.0142488479614257
510,510,tran thi soan,1,0.0012484788894653
511,511,le thi hong hanh,1,0.001494288444519
512,512,vu dang hieu,1,0.0148788690567016
513,513,nguyen trong huu,1,0.001303493976593
514,514,pham thi nga,1,0.0013067126274108
515,515,vu thi hang,1,0.0012102723121643
516,516,bui thi thu thuy,1,0.0059344768524169
517,517,ninh thi duyen,1,0.0009542107582092
518,518,dang thi na,1,0.0034052729606628
519,519,nguyen thanh nam,1,0.0009289979934692
520,520,nguyen thu huong,1,0.0010393857955932
521,521,pham van tung,1,0.0024049878120422
522,522,le quang long,1,0.0008560419082641
523,523,cn cty cp ck thang long-ledaihanh,0,0.9999998211860656
524,524,ngo thi hong ha,1,0.0014575719833374
525,525,tran the son,1,0.001135230064392
526,526,phan thi kim cuc,1,0.0021030902862548
527,527,ca tam tu,1,0.2059807181358337
528,528,pham xuan khuong,1,0.0134388804435729
529,529,nguyen dang dai,1,0.0012437105178833
530,530,ha thi my,1,0.0038540363311767
531,531,le xuan quang,1,0.0007821321487426
532,532,cty tnhh dttm&xd thanh hai,0,0.9999999403953552
533,533,nguyen van huan,1,0.0014249086380004
534,534,nguyen van ngoc,1,0.0022204518318176
535,535,le minh trong,1,0.0014843344688415
536,536,mai tran hoang long,1,0.0296025872230529
537,537,nguyen thi mai,1,0.00070321559906
538,538,cong ty tnhh mtv minh anh 79,0,0.9989563226699828
539,539,pham duc luan,1,0.0130104422569274
540,540,le tien thuat,1,0.0189756155014038
541,541,le tien dung,1,0.007388412952423
542,542,le thi thanh huyen,1,0.0008586645126342
543,543,nguyen thanh tu,1,0.0009013414382934
544,544,tran thi my linh,1,0.0051410198211669
545,545,tran le minh khang,1,0.0242247581481933
546,546,ngo van ket,1,0.1226376295089721
547,547,dang cong binh,1,0.0584185123443603
548,548,ho thi thanh cuc,1,0.0075302720069885
549,549,nguyen minh tuan,1,0.0005879402160644
550,550,nguyen manh hung,1,0.0005589127540588
551,551,nguyen thi oanh,1,0.001147985458374
552,552,duong thi cam anh,1,0.0061635375022888
553,553,nguyen thanh tung,1,0.0008779168128967
554,554,hoang van thanh,1,0.0090442299842834
555,555,hoang van khac,1,0.0050936937332153
556,556,vu thi lan anh,1,0.0005194544792175
557,557,pham ha duy,1,0.0087189078330993
558,558,nguyen thi my dung,1,0.0054234266281127
559,559,phan thi hong tham,1,0.0023966431617736
560,560,le thi phuong thao,1,0.0009870529174804
561,561,quan le kim oanh,1,0.0948200225830078
562,562,cong ty co phan huong vang,0,0.9950355887413024
563,563,nguyen van tron,1,0.001781404018402
564,564,truong tuan dang,1,0.0022425055503845
565,565,nguyen van khuong,1,0.0024020075798034
566,566,do tuan anh,1,0.009996473789215
567,567,le tat hoanh,1,0.0242533683776855
568,568,nguyen thieng loc,1,0.0048599243164062
569,569,le van son,1,0.0011371374130249
570,570,trpg thi cing huong,1,0.3804235458374023
571,571,le long hai,1,0.009771704673767
572,572,le khac tuan,1,0.0060681104660034
573,573,vu thi nhu mai,1,0.001188039779663
574,574,binh dien - ninh binh j.s.c,0,0.8920918703079224
575,575,nguyen van khoi,1,0.0022545456886291
576,576,dao tran ngoc lam,1,0.0882357954978942
577,577,tran manh toan,1,0.0045005679130554
578,578,dinh dang tai,1,0.0291947126388549
579,579,han thi thu thuy,1,0.0019116997718811
580,580,lo van on,1,0.1892209649085998
581,581,vo nhat minh,1,0.0211219787597656
582,582,huynh thi kim tuyen,1,0.0010530352592468
583,583,duong dinh tu,1,0.0292620062828063
584,584,vu van tien,1,0.0025665163993835
585,585,le thi hong ngoc,1,0.0008938908576965
586,586,vo lam thong,1,0.0729873180389404
587,587,pham cong minh,1,0.0110771656036376
588,588,nguyen le thi cam nhung,1,0.0923244357109069
589,589,bui quang anh,1,0.0010052323341369
590,590,le van dao,1,0.0021193027496337
591,591,quang van vien,1,0.0048447847366333
592,592,hoang kim ngan,1,0.0339383482933044
